"Metavariants, General, Info, &, Character, Development, Table,
AVERAGE,
AVERAGE, CUSTOMIZATION,
METAVARIANT, WEIGHT, ADJUSTMENT, POINTS,
HEIGHT, (M), KARMA,
(KG),
PRIORITY, A, PRIORITY, B, PRIORITY, C, PRIORITY, D, PRIORITY, E,
Dwarf, 1.20, 54, 0, 13, 11, 9, 4, 1,
Dour, 1.10, 55, 10, 13, 11, 9, 4, 1,
Gnome, 0.80, 37, 5, 13, 11, 9, 4, 1,
Hanuman, 1.20, 49, 5, 12, 10, 9, 4, 1,
Koborokuru, 1.10, 42, 5, 13, 11, 9, 4, 1,
Menehune, 1.10, 42, 5, 12, 10, 9, 4, N/A,
Elf, 1.90, 80, 0, N/A, 11, 9, 4, 1,
Dalakitnon, 1.70, 80, 5, N/A, 11, 9, 4, 1,
Dryad, 1.75, 63, 5, N/A, 11, 9, 4, 1,
Nocturna, 1.90, 80, 5, N/A, 10, 8, 4, 1,
Wakyambi, 2.30, 145, 10, N/A, 12, 9, 4, N/A,
Xapiri, Thëpë, 1.70, 57, 5, N/A, 10, 8, 4, 1,
Human, 1.75, 78, 0, N/A, N/A, 9, 4, 1,
Nartaki, 1.75, 86, 5/10, N/A, N/A, 10, 4, N/A,
Valkyrie, 1.76, 115, 15, N/A, 11, 10, 4, N/A,
Ork, 1.90, 128, 0, 13, 11, 9, 4, 1,
Hobgoblin, 1.80, 98, 5, 13, 11, 9, 4, 1,
Ogre, 1.70, 101, 5, 13, 11, 9, 4, 1,
Oni, 1.90, 128, 5, 13, 11, 9, 4, 1,
Satyr, 1.60, 69, 10, 13, 11, 9, 4, N/A,
Troll, 2.50, 300, 0, 13, 11, 9, 4, 1,
Cyclops, 2.70, 421, 5, 13, 11, 9, 4, 1,
Fomorian, 2.35, 224, 10, 14, 11, 9, 4, N/A,
Giant, 3.00, 467, 5, 14, 11, 9, 4, 1,
Minotaur, 2.40, 285, 5, 13, 11, 9, 4, 1,
Metasapients,
Centaurs, 2.10, 435, 15, 13, 11, 9, 4, N/A,
Merrow, 2.85, 375, 15, 13, 11, 9, 5, N/A,
Naga, 6.90, 245, 15, 11, 9, 4, 2, N/A,
Pixie, 0.60, 19, 10, 12, 10, 9, 4, N/A,
Sasquatch, 2.4, 244, 10, 14, 11, 9, 4, N/A"
